egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
39146,201820,25687,A
39146,201520,21900,A-
39146,201510,12310,A
39146,201520,30314,A
39146,201710,21050,S
39146,201710,13739,A
39146,201810,19497,A
39146,201510,15168,A
39146,201510,14225,B+
39146,201520,24763,A
39146,201620,30448,A-
39146,201610,13471,A-
39146,201520,23065,A
39146,201610,19494,A
39146,201620,21587,A
39146,201710,20019,A
39146,201620,23265,A
39146,201710,10560,A
39146,201510,11256,A-
39146,201810,15429,A
39146,201810,19511,A
39146,201710,17110,A
39146,201720,29752,B
39146,201720,25903,A
39146,201520,21897,B
39146,201720,24615,A
39146,201810,13573,A-
39146,201820,30037,A
39146,201610,13132,A
39146,201610,13477,A
39146,201720,27911,S
39146,201620,22793,A
39146,201720,20440,A
39146,201610,11579,B
39146,201510,11583,A
39146,201520,26991,A-
39146,201820,31450,A
39146,201710,18070,A
39146,201710,21014,A
39146,201820,20076,A-
39146,201820,25390,A-
39146,201720,20151,B+
39146,201510,10676,B+
39146,201720,22278,B+
39146,201810,10559,A
39146,201620,21334,A-
39146,201610,17053,A
39146,201620,20472,A
39146,201510,21098,A
67918,201710,11151,A
67918,201610,19789,A
67918,201710,11753,A
67918,201610,10496,A
67918,201520,30067,B+
67918,201810,14848,A
67918,201520,20222,A
67918,201620,26173,A
67918,201510,20420,A
67918,201820,30361,A
67918,201710,20464,A
67918,201510,14526,A
67918,201620,29833,A-
67918,201820,30816,A
67918,201610,10365,A-
67918,201810,12032,A
67918,201810,14847,A
67918,201520,20859,A
67918,201620,26635,A
67918,201610,18377,A
67918,201720,25267,A
67918,201610,11889,A
67918,201520,23432,A
67918,201610,13960,S
67918,201820,21246,A
67918,201520,23861,A
67918,201610,16741,A
